,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
2,Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
3,Altair,0017,3.5802e+30,1252260000.0,152.37175636642996
4,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.8368539423427
5,Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
6,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
7,Titawin,044.25,2.52603e+30,1029636000.0,159.02202111653529
8,54 Piscium,036.1,1.51164e+30,653958000.0,235.9037604224493
9,WISE 0458+6434A,35.9,2.9835e+31,2921940000.0,233.22207607106628
10,WISE 0458+6434B,35.9,1.989e+31,2643660000.0,189.93709242352767
